gene_id	symbol	name	cytoband	type	num_cohort_ssm_affected_cases	num_cohort_ssm_cases	cohort_ssm_affected_cases_percentage	num_gdc_ssm_affected_cases	num_gdc_ssm_cases	gdc_ssm_affected_cases_percentage	num_cohort_cnv_cases	num_cohort_cnv_gain_cases	cohort_cnv_gain_cases_percentage	num_cohort_cnv_loss_cases	cohort_cnv_loss_cases_percentage	num_mutations	annotations
ENSG00000139263	LRIG3	leucine rich repeats and immunoglobulin like domains 3	12q14.1	protein_coding	4	374	1.07	246	16477	1.49	517	88	17.02	3	0.58	4	Cancer Gene Census
ENSG00000140262	TCF12	transcription factor 12	15q21.3	protein_coding	4	374	1.07	191	16477	1.16	517	14	2.71	29	5.61	5	Cancer Gene Census
ENSG00000140937	CDH11	cadherin 11	16q21	protein_coding	4	374	1.07	492	16477	2.99	517	82	15.86	17	3.29	4	Cancer Gene Census
ENSG00000141968	VAV1	vav guanine nucleotide exchange factor 1	19p13.3	protein_coding	4	374	1.07	277	16477	1.68	517	23	4.45	47	9.09	4	Cancer Gene Census
ENSG00000145113	MUC4	mucin 4, cell surface associated	3q29	protein_coding	4	374	1.07	633	16477	3.84	517	55	10.64	58	11.22	4	Cancer Gene Census
ENSG00000145819	ARHGAP26	Rho GTPase activating protein 26	5q31.3	protein_coding	4	374	1.07	204	16477	1.24	517	289	55.90	3	0.58	4	Cancer Gene Census
ENSG00000147065	MSN	moesin	Xq12	protein_coding	4	374	1.07	177	16477	1.07	517	0	0.00	0	0.00	4	Cancer Gene Census
ENSG00000147130	ZMYM3	zinc finger MYM-type containing 3	Xq13.1	protein_coding	4	374	1.07	323	16477	1.96	517	0	0.00	0	0.00	4	Cancer Gene Census
ENSG00000148400	NOTCH1	notch receptor 1	9q34.3	protein_coding	4	374	1.07	811	16477	4.92	517	8	1.55	147	28.43	4	Cancer Gene Census
ENSG00000150457	LATS2	large tumor suppressor kinase 2	13q12.11	protein_coding	4	374	1.07	258	16477	1.57	517	16	3.09	54	10.44	4	Cancer Gene Census
ENSG00000152217	SETBP1	SET binding protein 1	18q12.3	protein_coding	4	374	1.07	533	16477	3.23	517	20	3.87	75	14.51	4	Cancer Gene Census
ENSG00000156970	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	15q15.1	protein_coding	4	374	1.07	169	16477	1.03	517	13	2.51	37	7.16	4	Cancer Gene Census
ENSG00000163399	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1	1p13.1	protein_coding	4	374	1.07	194	16477	1.18	517	7	1.35	58	11.22	4	Cancer Gene Census
ENSG00000163520	FBLN2	fibulin 2	3p25.1	protein_coding	4	374	1.07	284	16477	1.72	517	2	0.39	443	85.69	4	Cancer Gene Census
ENSG00000164362	TERT	telomerase reverse transcriptase	5p15.33	protein_coding	4	374	1.07	257	16477	1.56	517	120	23.21	17	3.29	4	Cancer Gene Census
ENSG00000171456	ASXL1	ASXL transcriptional regulator 1	20q11.21	protein_coding	4	374	1.07	403	16477	2.45	517	76	14.70	0	0.00	4	Cancer Gene Census
ENSG00000174469	CNTNAP2	contactin associated protein 2	7q35, 7q36.1	protein_coding	4	374	1.07	817	16477	4.96	517	143	27.66	7	1.35	4	Cancer Gene Census
ENSG00000179094	PER1	period circadian regulator 1	17p13.1	protein_coding	4	374	1.07	242	16477	1.47	517	17	3.29	49	9.48	4	Cancer Gene Census
ENSG00000184634	MED12	mediator complex subunit 12	Xq13.1	protein_coding	4	374	1.07	559	16477	3.39	517	0	0.00	0	0.00	4	Cancer Gene Census
ENSG00000185008	ROBO2	roundabout guidance receptor 2	3p12.3	protein_coding	4	374	1.07	668	16477	4.05	517	7	1.35	318	61.51	4	Cancer Gene Census
ENSG00000185177	ZNF479	zinc finger protein 479	7p11.2	protein_coding	4	374	1.07	389	16477	2.36	517	156	30.17	3	0.58	4	Cancer Gene Census
ENSG00000189079	ARID2	AT-rich interaction domain 2	12q12	protein_coding	4	374	1.07	528	16477	3.20	517	87	16.83	4	0.77	4	Cancer Gene Census
ENSG00000196531	NACA	nascent polypeptide associated complex subunit alpha	12q13.3	protein_coding	4	374	1.07	341	16477	2.07	517	89	17.21	3	0.58	4	Cancer Gene Census
ENSG00000197535	MYO5A	myosin VA	15q21.2	protein_coding	4	374	1.07	365	16477	2.22	517	13	2.51	31	6.00	4	Cancer Gene Census
ENSG00000198795	ZNF521	zinc finger protein 521	18q11.2	protein_coding	4	374	1.07	536	16477	3.25	517	19	3.68	71	13.73	4	Cancer Gene Census
ENSG00000198822	GRM3	glutamate metabotropic receptor 3	7q21.11, 7q21.12	protein_coding	4	374	1.07	532	16477	3.23	517	141	27.27	5	0.97	4	Cancer Gene Census
ENSG00000204843	DCTN1	dynactin subunit 1	2p13.1	protein_coding	4	374	1.07	275	16477	1.67	517	58	11.22	14	2.71	4	Cancer Gene Census
ENSG00000266412	NCOA4	nuclear receptor coactivator 4	10q11.22	protein_coding	4	374	1.07	117	16477	0.71	517	41	7.93	55	10.64	4	Cancer Gene Census
ENSG00000005339	CREBBP	CREB binding protein	16p13.3	protein_coding	3	374	0.80	776	16477	4.71	517	61	11.80	39	7.54	3	Cancer Gene Census
ENSG00000012048	BRCA1	BRCA1 DNA repair associated	17q21.31	protein_coding	3	374	0.80	366	16477	2.22	517	22	4.26	30	5.80	4	Cancer Gene Census
ENSG00000029725	RABEP1	rabaptin, RAB GTPase binding effector protein 1	17p13.2	protein_coding	3	374	0.80	149	16477	0.90	517	17	3.29	47	9.09	3	Cancer Gene Census
ENSG00000037280	FLT4	fms related receptor tyrosine kinase 4	5q35.3	protein_coding	3	374	0.80	474	16477	2.88	517	290	56.09	6	1.16	3	Cancer Gene Census
ENSG00000040731	CDH10	cadherin 10	5p14.2, 5p14.1	protein_coding	3	374	0.80	736	16477	4.47	517	145	28.05	5	0.97	3	Cancer Gene Census
ENSG00000070371	CLTCL1	clathrin heavy chain like 1	22q11.21	protein_coding	3	374	0.80	315	16477	1.91	517	23	4.45	22	4.26	3	Cancer Gene Census
ENSG00000070756	PABPC1	poly(A) binding protein cytoplasmic 1	8q22.3	protein_coding	3	374	0.80	128	16477	0.78	517	48	9.28	47	9.09	4	Cancer Gene Census
ENSG00000071564	TCF3	transcription factor 3	19p13.3	protein_coding	3	374	0.80	139	16477	0.84	517	18	3.48	81	15.67	3	Cancer Gene Census
ENSG00000073614	KDM5A	lysine demethylase 5A	12p13.33	protein_coding	3	374	0.80	360	16477	2.18	517	90	17.41	7	1.35	3	Cancer Gene Census
ENSG00000073921	PICALM	phosphatidylinositol binding clathrin assembly protein	11q14.2	protein_coding	3	374	0.80	142	16477	0.86	517	19	3.68	22	4.26	3	Cancer Gene Census
ENSG00000077782	FGFR1	fibroblast growth factor receptor 1	8p11.23	protein_coding	3	374	0.80	232	16477	1.41	517	18	3.48	111	21.47	3	Cancer Gene Census
ENSG00000078403	MLLT10	MLLT10 histone lysine methyltransferase DOT1L cofactor	10p12.31	protein_coding	3	374	0.80	237	16477	1.44	517	19	3.68	43	8.32	3	Cancer Gene Census
ENSG00000079999	KEAP1	kelch like ECH associated protein 1	19p13.2	protein_coding	3	374	0.80	375	16477	2.28	517	26	5.03	31	6.00	3	Cancer Gene Census
ENSG00000087460	GNAS	GNAS complex locus	20q13.32	protein_coding	3	374	0.80	367	16477	2.23	517	77	14.89	1	0.19	3	Cancer Gene Census
ENSG00000089280	FUS	FUS RNA binding protein	16p11.2	protein_coding	3	374	0.80	141	16477	0.86	517	78	15.09	5	0.97	4	Cancer Gene Census
ENSG00000096384	HSP90AB1	heat shock protein 90 alpha family class B member 1	6p21.1	protein_coding	3	374	0.80	201	16477	1.22	517	10	1.93	79	15.28	3	Cancer Gene Census
ENSG00000096968	JAK2	Janus kinase 2	9p24.1	protein_coding	3	374	0.80	291	16477	1.77	517	11	2.13	124	23.98	3	Cancer Gene Census
ENSG00000100503	NIN	ninein	14q22.1	protein_coding	3	374	0.80	385	16477	2.34	517	6	1.16	190	36.75	3	Cancer Gene Census
ENSG00000100697	DICER1	dicer 1, ribonuclease III	14q32.13	protein_coding	3	374	0.80	386	16477	2.34	517	5	0.97	195	37.72	3	Cancer Gene Census
ENSG00000105221	AKT2	AKT serine/threonine kinase 2	19q13.2	protein_coding	3	374	0.80	167	16477	1.01	517	34	6.58	9	1.74	3	Cancer Gene Census
ENSG00000105662	CRTC1	CREB regulated transcription coactivator 1	19p13.11	protein_coding	3	374	0.80	158	16477	0.96	517	37	7.16	18	3.48	3	Cancer Gene Census
